1/tcp	tcpmux
2947/tcp	gpsd
2947/udp	gpsd
3050/tcp	gds-db
3050/udp	gds-db
3130/tcp	icpv2
3130/udp	icpv2
3260/tcp	iscsi-target
3306/tcp	mysql
3306/udp	mysql
3493/tcp	nut
3493/udp	nut
3632/tcp	distcc
3632/udp	distcc
3689/tcp	daap
3689/udp	daap
3690/tcp	svn
3690/udp	svn
4031/tcp	suucp
4031/udp	suucp
4094/tcp	sysrqd
4094/udp	sysrqd
4190/tcp	sieve
4369/tcp	epmd
4369/udp	epmd
4373/tcp	remctl
4373/udp	remctl
4353/tcp	f5-iquery
4353/udp	f5-iquery
4500/udp	ipsec-nat-t
4569/tcp	iax
4569/udp	iax
4691/tcp	mtn
4691/udp	mtn
4899/tcp	radmin-port
4899/udp	radmin-port
5002/udp	rfe
5002/tcp	rfe
5050/tcp	mmcc
5050/udp	mmcc
5060/tcp	sip
5060/udp	sip
5061/tcp	sip-tls
5061/udp	sip-tls
5190/tcp	aol
5190/udp	aol
5222/tcp	xmpp-client
5222/udp	xmpp-client
5269/tcp	xmpp-server
5269/udp	xmpp-server
5308/tcp	cfengine
5308/udp	cfengine
5353/tcp	mdns
5353/udp	mdns
5432/tcp	postgresql
5432/udp	postgresql
5556/tcp	freeciv
5556/udp	freeciv
5671/tcp	amqps
5672/tcp	amqp
5672/udp	amqp
5672/sctp	amqp
5688/tcp	ggz
5688/udp	ggz
6000/tcp	x11
6000/udp	x11
6001/tcp	x11-1
6001/udp	x11-1
6002/tcp	x11-2
6002/udp	x11-2
6003/tcp	x11-3
6003/udp	x11-3
6004/tcp	x11-4
6004/udp	x11-4
6005/tcp	x11-5
6005/udp	x11-5
6006/tcp	x11-6
6006/udp	x11-6
6007/tcp	x11-7
6007/udp	x11-7
6346/tcp	gnutella-svc
6346/udp	gnutella-svc
6347/tcp	gnutella-rtr
6347/udp	gnutella-rtr
6444/tcp	sge-qmaster
6444/udp	sge-qmaster
6445/tcp	sge-execd
6445/udp	sge-execd
6446/tcp	mysql-proxy
6446/udp	mysql-proxy
7000/tcp	afs3-fileserver
7000/udp	afs3-fileserver
7001/tcp	afs3-callback
7001/udp	afs3-callback
7002/tcp	afs3-prserver
7002/udp	afs3-prserver
7003/tcp	afs3-vlserver
7003/udp	afs3-vlserver
7004/tcp	afs3-kaserver
7004/udp	afs3-kaserver
7005/tcp	afs3-volser
7005/udp	afs3-volser
7006/tcp	afs3-errors
7006/udp	afs3-errors
7007/tcp	afs3-bos
7007/udp	afs3-bos
7008/tcp	afs3-update
7008/udp	afs3-update
7009/tcp	afs3-rmtsys
7009/udp	afs3-rmtsys
7100/tcp	font-service
7100/udp	font-service
8080/tcp	http-alt
8080/udp	http-alt
9101/tcp	bacula-dir
9101/udp	bacula-dir
9102/tcp	bacula-fd
9102/udp	bacula-fd
9103/tcp	bacula-sd
9103/udp	bacula-sd
9667/tcp	xmms2
9667/udp	xmms2
10809/tcp	nbd
10050/tcp	zabbix-agent
10050/udp	zabbix-agent
10051/tcp	zabbix-trapper
10051/udp	zabbix-trapper
10080/tcp	amanda
10080/udp	amanda
11112/tcp	dicom
11371/tcp	hkp
11371/udp	hkp
13720/tcp	bprd
13720/udp	bprd
13721/tcp	bpdbm
13721/udp	bpdbm
13722/tcp	bpjava-msvc
13722/udp	bpjava-msvc
13724/tcp	vnetd
13724/udp	vnetd
13782/tcp	bpcd
13782/udp	bpcd
13783/tcp	vopied
13783/udp	vopied
17500/tcp	db-lsp
22125/tcp	dcap
22128/tcp	gsidcap
22273/tcp	wnn6
22273/udp	wnn6
1/ddp	rtmp
2/ddp	nbp
4/ddp	echo
6/ddp	zip
750/udp	kerberos4
750/tcp	kerberos4
751/udp	kerberos-master
751/tcp	kerberos-master
752/udp	passwd-server
754/tcp	krb-prop
760/tcp	krbupdate
901/tcp	swat
1109/tcp	kpop
2053/tcp	knetd
2102/udp	zephyr-srv
2103/udp	zephyr-clt
2104/udp	zephyr-hm
2105/tcp	eklogin
2111/tcp	kx
2121/tcp	iprop
871/tcp	supfilesrv
1127/tcp	supfiledbg
98/tcp	linuxconf
106/tcp	poppassd
106/udp	poppassd
775/tcp	moira-db
777/tcp	moira-update
779/udp	moira-ureg
783/tcp	spamd
808/tcp	omirr
808/udp	omirr
1001/tcp	customs
1001/udp	customs
1178/tcp	skkserv
1210/udp	predict
1236/tcp	rmtcfg
1300/tcp	wipld
1313/tcp	xtel
1314/tcp	xtelw
1529/tcp	support
2003/tcp	cfinger
2121/tcp	frox
2150/tcp	ninstall
2150/udp	ninstall
2600/tcp	zebrasrv
2601/tcp	zebra
2602/tcp	ripd
2603/tcp	ripngd
2604/tcp	ospfd
2605/tcp	bgpd
2606/tcp	ospf6d
2607/tcp	ospfapi
2608/tcp	isisd
2988/tcp	afbackup
2988/udp	afbackup
2989/tcp	afmbackup
2989/udp	afmbackup
4224/tcp	xtell
4557/tcp	fax
4559/tcp	hylafax
4600/tcp	distmp3
4949/tcp	munin
5051/tcp	enbd-cstatd
5052/tcp	enbd-sstatd
5151/tcp	pcrd
5354/tcp	noclog
5354/udp	noclog
5355/tcp	hostmon
5355/udp	hostmon
5555/udp	rplay
5666/tcp	nrpe
5667/tcp	nsca
5674/tcp	mrtd
5675/tcp	bgpsim
5680/tcp	canna
6514/tcp	syslog-tls
6566/tcp	sane-port
6667/tcp	ircd
8021/tcp	zope-ftp
8081/tcp	tproxy
8088/tcp	omniorb
8088/udp	omniorb
8990/tcp	clc-build-daemon
9098/tcp	xinetd
9359/udp	mandelspawn
9418/tcp	git
9673/tcp	zope
10000/tcp	webmin
10081/tcp	kamanda
10081/udp	kamanda
10082/tcp	amandaidx
10083/tcp	amidxtape
11201/tcp	smsqp
11201/udp	smsqp
15345/tcp	xpilot
15345/udp	xpilot
17001/udp	sgi-cmsd
17002/udp	sgi-crsd
17003/udp	sgi-gcd
17004/tcp	sgi-cad
20011/tcp	isdnlog
20011/udp	isdnlog
20012/tcp	vboxd
20012/udp	vboxd
24554/tcp	binkp
27374/tcp	asp
27374/udp	asp
30865/tcp	csync2
57000/tcp	dircproxy
60177/tcp	tfido
60179/tcp	fido
1027/udp	Native IPv6 behind IPv4-to-IPv4 NAT Customer Premises Equipment (6a44)
1058/tcp	nim, IBM AIX Network Installation Manager (NIM)
1058/udp	nim, IBM AIX Network Installation Manager (NIM)
1059/tcp	nimreg, IBM AIX Network Installation Manager (NIM)
1059/udp	nimreg, IBM AIX Network Installation Manager (NIM)
1080/tcp	SOCKS proxy
1080/udp	SOCKS proxy
1085/tcp	WebObjects
1085/udp	WebObjects
1098/tcp	rmiactivation, Java remote method invocation (RMI) activation
1098/udp	rmiactivation, Java remote method invocation (RMI) activation
1099/tcp	rmiregistry, Java remote method invocation (RMI) registry
1099/assigned	rmiregistry, Java remote method invocation (RMI) registry
1119/tcp	Battle.net chat/game protocol, used by Blizzard's games
1119/udp	Battle.net chat/game protocol, used by Blizzard's games
1167/udp	Cisco IP SLA (Service Assurance Agent)
1167/tcp	Cisco IP SLA (Service Assurance Agent)
1194/udp	OpenVPN
1194/tcp	OpenVPN
1198/udp	The cajo project Free dynamic transparent distributed computing in Java
1198/tcp	The cajo project Free dynamic transparent distributed computing in Java
1214/udp	Kazaa
1214/tcp	Kazaa
1234/udp	Infoseek search agent
1234/tcp	Infoseek search agent
1241/udp	Nessus Security Scanner
1241/tcp	Nessus Security Scanner
1270/udp	Microsoft System Center Operations Manager (SCOM) (formerly Microsoft Operations Manager (MOM)) agent
1270/tcp	Microsoft System Center Operations Manager (SCOM) (formerly Microsoft Operations Manager (MOM)) agent
1293/udp	Internet Protocol Security (IPSec)
1293/tcp	Internet Protocol Security (IPSec)
1311/udp	Windows RxMon.exe
1311/tcp	Windows RxMon.exe
1341/udp	Qubes (Manufacturing Execution System)
1341/tcp	Qubes (Manufacturing Execution System)
1344/udp	Internet Content Adaptation Protocol
1344/tcp	Internet Content Adaptation Protocol
1352/udp	IBM Lotus Notes/Domino (RPC) protocol
1352/tcp	IBM Lotus Notes/Domino (RPC) protocol
1360/udp	Mimer SQL
1360/tcp	Mimer SQL
1414/udp	IBM WebSphere MQ (formerly known as MQSeries)
1414/tcp	IBM WebSphere MQ (formerly known as MQSeries)
1417/udp	Timbuktu Service 1 Port
1417/tcp	Timbuktu Service 1 Port
1418/udp	Timbuktu Service 2 Port
1418/tcp	Timbuktu Service 2 Port
1419/udp	Timbuktu Service 3 Port
1419/tcp	Timbuktu Service 3 Port
1420/udp	Timbuktu Service 4 Port
1420/tcp	Timbuktu Service 4 Port
1433/udp	Microsoft SQL Server database management system (MSSQL) server
1433/tcp	Microsoft SQL Server database management system (MSSQL) server
1434/udp	Microsoft SQL Server database management system (MSSQL) monitor
1434/tcp	Microsoft SQL Server database management system (MSSQL) monitor
1512/udp	Microsoft's Windows Internet Name Service (WINS)
1512/tcp	Microsoft's Windows Internet Name Service (WINS)
1521/udp	nCUBE License Manager
1521/tcp	nCUBE License Manager
1524/udp	ingreslock, ingres
1524/tcp	ingreslock, ingres
1527/udp	Oracle Net Services, formerly known as SQL*Net
1527/tcp	Oracle Net Services, formerly known as SQL*Net
1533/udp	IBM Sametime Virtual Places Chat
1533/tcp 	IBM Sametime Virtual Places Chat
1547/udp 	Laplink
1547/tcp 	Laplink
1581/udp 	MIL STD 2045-47001 VMF
1581/tcp 	MIL STD 2045-47001 VMF
1589/udp 	Cisco VLAN Query Protocol (VQP)
1589/tcp 	Cisco VLAN Query Protocol (VQP)
1628/udp 	LonTalk normal
1628/tcp 	LonTalk normal
1629/udp 	LonTalk urgent
1629/tcp 	LonTalk urgent
1677/udp 	Novell GroupWise clients in client/server access mode
1677/tcp 	Novell GroupWise clients in client/server access mode
1701/udp 	Layer 2 Forwarding Protocol (L2F)
1701/tcp 	Layer 2 Forwarding Protocol (L2F)
1701/udp 	Layer 2 Tunneling Protocol (L2TP)
1701/assigned	Layer 2 Tunneling Protocol (L2TP)
1707/udp	Windward Studios games (vdmplay)
1707/tcp	Windward Studios games (vdmplay)
1719/udp	H.323 registration and alternate communication
1719/tcp	H.323 registration and alternate communication
1720/udp	H.323 call signaling
1720/tcp	H.323 call signaling
1755/udp	Microsoft Media Services (MMS, ms-streaming)
1755/tcp	Microsoft Media Services (MMS, ms-streaming)
1801/udp	Microsoft Message Queuing
1801/tcp	Microsoft Message Queuing
1812/udp	RADIUS authentication protocol, radius
1812/tcp	RADIUS authentication protocol, radius
1813/udp	RADIUS accounting protocol, radius-acct
1813/tcp	RADIUS accounting protocol, radius-acct
1863/udp	Microsoft Notification Protocol (MSNP), used by the Microsoft Messenger service and a number of instant messaging Messenger clients
1863/tcp	Microsoft Notification Protocol (MSNP), used by the Microsoft Messenger service and a number of instant messaging Messenger clients
1883/udp	MQTT (formerly MQ Telemetry Transport)
1883/tcp	MQTT (formerly MQ Telemetry Transport)
