1/tcp	tcpmux
5084/tcp	EPCglobal Low Level Reader Protocol (LLRP)
5085/udp	EPCglobal Low Level Reader Protocol (LLRP) over TLS
5085/tcp	EPCglobal Low Level Reader Protocol (LLRP) over TLS
5099/udp	SafeNet, Inc Sentinel LM, Sentinel RMS, License Manager, server-to-server
5099/tcp	SafeNet, Inc Sentinel LM, Sentinel RMS, License Manager, server-to-server
5150/udp	ATMP Ascend Tunnel Management Protocol
5150/tcp	ATMP Ascend Tunnel Management Protocol
5154/udp	BZFlag
5154/tcp	BZFlag
5190/udp	AOL Instant Messenger protocol. The chat app is defunct as of 15 December 2017.
5190/tcp	AOL Instant Messenger protocol. The chat app is defunct as of 15 December 2017.
5298/udp	Extensible Messaging and Presence Protocol (XMPP)
5298/tcp	Extensible Messaging and Presence Protocol (XMPP)
5310/udp	Outlaws (1997 video game). Both UDP and TCP are reserved, but only UDP is used
5310/tcp	Outlaws (1997 video game). Both UDP and TCP are reserved, but only UDP is used
5353/udp	Multicast DNS (mDNS)
5353/assigned	Multicast DNS (mDNS)
5355/udp	Link-Local Multicast Name Resolution (LLMNR), allows hosts to perform name resolution for hosts on the same local link (only provided by Windows Vista and Server 2008)
5355/tcp	Link-Local Multicast Name Resolution (LLMNR), allows hosts to perform name resolution for hosts on the same local link (only provided by Windows Vista and Server 2008)
5402/udp	Multicast File Transfer Protocol (MFTP)
5402/tcp	Multicast File Transfer Protocol (MFTP)
5405/udp	NetSupport Manager
5405/tcp	NetSupport Manager
5412/udp	IBM Rational Synergy (Telelogic Synergy) (Continuus CM) Message Router
5412/tcp	IBM Rational Synergy (Telelogic Synergy) (Continuus CM) Message Router
5413/udp	Wonderware SuiteLink service
5413/tcp	Wonderware SuiteLink service
5417/udp	SNS Agent
5417/tcp	SNS Agent
5421/udp	NetSupport Manager
5421/tcp	NetSupport Manager
5556/udp	Freeciv, Oracle WebLogic Server Node Manager
5556/tcp	Freeciv, Oracle WebLogic Server Node Manager
5568/udp	Session Data Transport (SDT), a part of Architecture for Control Networks (ACN)
5568/tcp	Session Data Transport (SDT), a part of Architecture for Control Networks (ACN)
5722/udp	Microsoft RPC, DFSR (SYSVOL) Replication Service
5722/tcp	Microsoft RPC, DFSR (SYSVOL) Replication Service
5741/udp	IDA Discover Port 1
5741/tcp	IDA Discover Port 1
5742/udp	IDA Discover Port 2
5742/tcp	IDA Discover Port 2
5900/udp	Remote Frame Buffer protocol (RFB)
5900/tcp	Remote Frame Buffer protocol (RFB)
5931/udp	AMMYY admin Remote Control
5931/tcp	AMMYY admin Remote Control
5984/udp	CouchDB database server
5984/tcp	CouchDB database server
6000/udp	X11-used between an X client and server over the network
6000/tcp	X11-used between an X client and server over the network
6001/udp	X11-used between an X client and server over the network
6001/tcp	X11-used between an X client and server over the network
6002/udp	X11-used between an X client and server over the network
6002/tcp	X11-used between an X client and server over the network
6003/udp	X11-used between an X client and server over the network
6003/tcp	X11-used between an X client and server over the network
6004/udp	X11-used between an X client and server over the network
6004/tcp	X11-used between an X client and server over the network
6005/udp	X11-used between an X client and server over the network
6005/tcp	X11-used between an X client and server over the network
6006/udp	X11-used between an X client and server over the network
6006/tcp	X11-used between an X client and server over the network
6007/udp	X11-used between an X client and server over the network
6007/tcp	X11-used between an X client and server over the network
6008/udp	X11-used between an X client and server over the network
6008/tcp	X11-used between an X client and server over the network
6009/udp	X11-used between an X client and server over the network
6009/tcp	X11-used between an X client and server over the network
6010/udp	X11-used between an X client and server over the network
6010/tcp	X11-used between an X client and server over the network
6011/udp	X11-used between an X client and server over the network
6011/tcp	X11-used between an X client and server over the network
6012/udp	X11-used between an X client and server over the network
6012/tcp	X11-used between an X client and server over the network
6013/udp	X11-used between an X client and server over the network
6013/tcp	X11-used between an X client and server over the network
6014/udp	X11-used between an X client and server over the network
6014/tcp	X11-used between an X client and server over the network
6015/udp	X11-used between an X client and server over the network
6015/tcp	X11-used between an X client and server over the network
6016/udp	X11-used between an X client and server over the network
6016/tcp	X11-used between an X client and server over the network
6017/udp	X11-used between an X client and server over the network
6017/tcp	X11-used between an X client and server over the network
6018/udp	X11-used between an X client and server over the network
6018/tcp	X11-used between an X client and server over the network
6019/udp	X11-used between an X client and server over the network
6019/tcp	X11-used between an X client and server over the network
6020/udp	X11-used between an X client and server over the network
6020/tcp	X11-used between an X client and server over the network
6021/udp	X11-used between an X client and server over the network
6021/tcp	X11-used between an X client and server over the network
6022/udp	X11-used between an X client and server over the network
6022/tcp	X11-used between an X client and server over the network
6023/udp	X11-used between an X client and server over the network
6023/tcp	X11-used between an X client and server over the network
6024/udp	X11-used between an X client and server over the network
6024/tcp	X11-used between an X client and server over the network
6025/udp	X11-used between an X client and server over the network
6025/tcp	X11-used between an X client and server over the network
6026/udp	X11-used between an X client and server over the network
6026/tcp	X11-used between an X client and server over the network
6027/udp	X11-used between an X client and server over the network
6027/tcp	X11-used between an X client and server over the network
6028/udp	X11-used between an X client and server over the network
6028/tcp	X11-used between an X client and server over the network
6029/udp	X11-used between an X client and server over the network
6029/tcp	X11-used between an X client and server over the network
6030/udp	X11-used between an X client and server over the network
6030/tcp	X11-used between an X client and server over the network
6031/udp	X11-used between an X client and server over the network
6031/tcp	X11-used between an X client and server over the network
6032/udp	X11-used between an X client and server over the network
6032/tcp	X11-used between an X client and server over the network
6033/udp	X11-used between an X client and server over the network
6033/tcp	X11-used between an X client and server over the network
6034/udp	X11-used between an X client and server over the network
6034/tcp	X11-used between an X client and server over the network
6035/udp	X11-used between an X client and server over the network
6035/tcp	X11-used between an X client and server over the network
6036/udp	X11-used between an X client and server over the network
6036/tcp	X11-used between an X client and server over the network
6037/udp	X11-used between an X client and server over the network
6037/tcp	X11-used between an X client and server over the network
6038/udp	X11-used between an X client and server over the network
6038/tcp	X11-used between an X client and server over the network
6039/udp	X11-used between an X client and server over the network
6039/tcp	X11-used between an X client and server over the network
6040/udp	X11-used between an X client and server over the network
6040/tcp	X11-used between an X client and server over the network
6041/udp	X11-used between an X client and server over the network
6041/tcp	X11-used between an X client and server over the network
6042/udp	X11-used between an X client and server over the network
6042/tcp	X11-used between an X client and server over the network
6043/udp	X11-used between an X client and server over the network
6043/tcp	X11-used between an X client and server over the network
6044/udp	X11-used between an X client and server over the network
6044/tcp	X11-used between an X client and server over the network
6045/udp	X11-used between an X client and server over the network
6045/tcp	X11-used between an X client and server over the network
6046/udp	X11-used between an X client and server over the network
6046/tcp	X11-used between an X client and server over the network
6047/udp	X11-used between an X client and server over the network
6047/tcp	X11-used between an X client and server over the network
6048/udp	X11-used between an X client and server over the network
6048/tcp	X11-used between an X client and server over the network
6049/udp	X11-used between an X client and server over the network
6049/tcp	X11-used between an X client and server over the network
6050/udp	X11-used between an X client and server over the network
6050/tcp	X11-used between an X client and server over the network
6051/udp	X11-used between an X client and server over the network
6051/tcp	X11-used between an X client and server over the network
6052/udp	X11-used between an X client and server over the network
6052/tcp	X11-used between an X client and server over the network
6053/udp	X11-used between an X client and server over the network
6053/tcp	X11-used between an X client and server over the network
6054/udp	X11-used between an X client and server over the network
6054/tcp	X11-used between an X client and server over the network
6055/udp	X11-used between an X client and server over the network
6055/tcp	X11-used between an X client and server over the network
6056/udp	X11-used between an X client and server over the network
6056/tcp	X11-used between an X client and server over the network
6057/udp	X11-used between an X client and server over the network
6057/tcp	X11-used between an X client and server over the network
6058/udp	X11-used between an X client and server over the network
6058/tcp	X11-used between an X client and server over the network
6059/udp	X11-used between an X client and server over the network
6059/tcp	X11-used between an X client and server over the network
6060/udp	X11-used between an X client and server over the network
6060/tcp	X11-used between an X client and server over the network
6061/udp	X11-used between an X client and server over the network
6061/tcp	X11-used between an X client and server over the network
6062/udp	X11-used between an X client and server over the network
6062/tcp	X11-used between an X client and server over the network
6063/udp	X11-used between an X client and server over the network
6063/tcp	X11-used between an X client and server over the network
6110/udp	softcm, HP Softbench CM
6110/tcp	softcm, HP Softbench CM
6111/udp	spc, HP Softbench Sub-Process Control
6111/tcp	spc, HP Softbench Sub-Process Control
6112/udp	dtspcd, execute commands and launch applications remotely
6112/tcp	dtspcd, execute commands and launch applications remotely
6346/udp	gnutella-svc, gnutella (FrostWire, Limewire, Shareaza, etc.)
6346/tcp	gnutella-svc, gnutella (FrostWire, Limewire, Shareaza, etc.)
6347/udp	gnutella-rtr, Gnutella alternate
6347/tcp	gnutella-rtr, Gnutella alternate
6350/udp	App Discovery and Access Protocol
6350/tcp	App Discovery and Access Protocol
6444/udp	Sun Grid Engine Qmaster Service
6444/tcp	Sun Grid Engine Qmaster Service
6445/udp	Sun Grid Engine Execution Service
6445/tcp	Sun Grid Engine Execution Service
6464/udp	Port assignment for medical device communication in accordance to IEEE 11073-20701
6464/tcp	Port assignment for medical device communication in accordance to IEEE 11073-20701
6515/udp	Elipse RPC Protocol (REC)
6515/tcp	Elipse RPC Protocol (REC)
6619/udp	odette-ftps, Odette File Transfer Protocol (OFTP) over TLS/SSL
6619/tcp	odette-ftps, Odette File Transfer Protocol (OFTP) over TLS/SSL
6622/udp	Multicast FTP
6622/tcp	Multicast FTP
6679/udp	Osorno Automation Protocol (OSAUT)
6679/tcp	Osorno Automation Protocol (OSAUT)
6888/udp	MUSE
6888/tcp	MUSE
6969/udp	acmsoda
6969/tcp	acmsoda
7262/udp	CNAP (Calypso Network Access Protocol)
7262/tcp	CNAP (Calypso Network Access Protocol)
7272/udp	WatchMe - WatchMe Monitoring
7272/tcp	WatchMe - WatchMe Monitoring
7400/udp	RTPS (Real Time Publish Subscribe) DDS Discovery
7400/tcp	RTPS (Real Time Publish Subscribe) DDS Discovery
7401/udp	RTPS (Real Time Publish Subscribe) DDS User-Traffic
7401/tcp	RTPS (Real Time Publish Subscribe) DDS User-Traffic
7402/udp	RTPS (Real Time Publish Subscribe) DDS Meta-Traffic
7402/tcp	RTPS (Real Time Publish Subscribe) DDS Meta-Traffic
7542/udp	Saratoga file transfer protocol
7542/tcp	Saratoga file transfer protocol
7547/udp	CPE WAN Management Protocol (CWMP) Technical Report 069
7547/tcp	CPE WAN Management Protocol (CWMP) Technical Report 069
7624/udp	Instrument Neutral Distributed Interface
7624/tcp	Instrument Neutral Distributed Interface
8008/udp	Alternative port for HTTP. See also ports 80 and 8080.
8008/tcp	Alternative port for HTTP. See also ports 80 and 8080.
8074/udp	Gadu-Gadu
8074/tcp	Gadu-Gadu
8080/udp	Alternative port for HTTP. See also ports 80 and 8008.
8080/tcp	Alternative port for HTTP. See also ports 80 and 8008.
8243/udp	HTTPS listener for Apache Synapse
8243/tcp	HTTPS listener for Apache Synapse
8280/udp	HTTP listener for Apache Synapse
8280/tcp	HTTP listener for Apache Synapse
8883/udp	Secure MQTT (MQTT over TLS)
8883/tcp	Secure MQTT (MQTT over TLS)
9001/udp	ETL Service Manager
9001/tcp	ETL Service Manager
9080/udp	glrpc, Groove Collaboration software GLRPC
9080/tcp	glrpc, Groove Collaboration software GLRPC
9101/udp	Bacula Director
9101/tcp	Bacula Director
9102/udp	Bacula File Daemon
9102/tcp	Bacula File Daemon
9103/udp	Bacula Storage Daemon
9103/tcp	Bacula Storage Daemon
9119/udp	MXit Instant Messenger
9119/tcp	MXit Instant Messenger
9389/udp	adws, Microsoft AD DS Web Services, Powershell uses this port
9389/tcp	adws, Microsoft AD DS Web Services, Powershell uses this port
9418/udp	git, Git pack transfer service
9418/tcp	git, Git pack transfer service
9535/udp	mngsuite, LANDesk Management Suite Remote Control
9535/tcp	mngsuite, LANDesk Management Suite Remote Control
9536/udp	laes-bf, IP Fabrics Surveillance buffering function
9536/tcp	laes-bf, IP Fabrics Surveillance buffering function
9800/udp	WebDAV Source
9800/tcp	WebDAV Source
10000/udp	Network Data Management Protocol
10000/tcp	Network Data Management Protocol
10050/udp	Zabbix agent
10050/tcp	Zabbix agent
10051/udp	Zabbix trapper
10051/tcp	Zabbix trapper
10110/udp	NMEA 0183 Navigational Data. Transport of NMEA 0183 sentences over TCP or UDP
10110/tcp	NMEA 0183 Navigational Data. Transport of NMEA 0183 sentences over TCP or UDP
11001/udp	metasys ( Johnson Controls Metasys java AC control environment )
11001/tcp	metasys ( Johnson Controls Metasys java AC control environment )
11112/udp	ACR/NEMA Digital Imaging and Communications in Medicine (DICOM)
11112/tcp	ACR/NEMA Digital Imaging and Communications in Medicine (DICOM)
11371/udp	OpenPGP HTTP key server
11371/tcp	OpenPGP HTTP key server
13720/udp	Symantec NetBackup-bprd (formerly VERITAS)
13720/tcp	Symantec NetBackup-bprd (formerly VERITAS)
13721/udp	Symantec NetBackup-bpdbm (formerly VERITAS)
13721/tcp	Symantec NetBackup-bpdbm (formerly VERITAS)
13724/udp	Symantec Network Utility-vnetd (formerly VERITAS)
13724/tcp	Symantec Network Utility-vnetd (formerly VERITAS)
13782/udp	Symantec NetBackup-bpcd (formerly VERITAS)
13782/tcp	Symantec NetBackup-bpcd (formerly VERITAS)
13783/udp	Symantec VOPIED protocol (formerly VERITAS)
13783/tcp	Symantec VOPIED protocol (formerly VERITAS)
13785/udp	Symantec NetBackup Database-nbdb (formerly VERITAS)
13785/tcp	Symantec NetBackup Database-nbdb (formerly VERITAS)
13786/udp	Symantec nomdb (formerly VERITAS)
13786/tcp	Symantec nomdb (formerly VERITAS)
15345/udp	XPilot Contact
15345/tcp	XPilot Contact
17500/udp	Dropbox LanSync Protocol (db-lsp); used to synchronize file catalogs between Dropbox clients on a local network.
17500/tcp	Dropbox LanSync Protocol (db-lsp); used to synchronize file catalogs between Dropbox clients on a local network.
19813/udp	4D database Client Server Communication
19813/tcp	4D database Client Server Communication
24465/udp	Tonido Directory Server for Tonido which is a Personal Web App and P2P platform
24465/tcp	Tonido Directory Server for Tonido which is a Personal Web App and P2P platform
24554/udp	BINKP, Fidonet mail transfers over TCP/IP
24554/tcp	BINKP, Fidonet mail transfers over TCP/IP
26000/udp	id Software's Quake server
26000/tcp	id Software's Quake server
27000/udp	FlexNet Publisher's License server (from the range of default ports)
27000/tcp	FlexNet Publisher's License server (from the range of default ports)
27001/udp	FlexNet Publisher's License server (from the range of default ports)
27001/tcp	FlexNet Publisher's License server (from the range of default ports)
27002/udp	FlexNet Publisher's License server (from the range of default ports)
27002/tcp	FlexNet Publisher's License server (from the range of default ports)
27003/udp	FlexNet Publisher's License server (from the range of default ports)
27003/tcp	FlexNet Publisher's License server (from the range of default ports)
27004/udp	FlexNet Publisher's License server (from the range of default ports)
27004/tcp	FlexNet Publisher's License server (from the range of default ports)
27005/udp	FlexNet Publisher's License server (from the range of default ports)
27005/tcp	FlexNet Publisher's License server (from the range of default ports)
27006/udp	FlexNet Publisher's License server (from the range of default ports)
27006/tcp	FlexNet Publisher's License server (from the range of default ports)
27007/udp	FlexNet Publisher's License server (from the range of default ports)
27007/tcp	FlexNet Publisher's License server (from the range of default ports)
27008/udp	FlexNet Publisher's License server (from the range of default ports)
27008/tcp	FlexNet Publisher's License server (from the range of default ports)
27009/udp	FlexNet Publisher's License server (from the range of default ports)
27009/tcp	FlexNet Publisher's License server (from the range of default ports)
33434/udp	traceroute
33434/tcp	traceroute
40000/udp	SafetyNET p a real-time Industrial Ethernet protocol
40000/tcp	SafetyNET p a real-time Industrial Ethernet protocol
44818/udp	EtherNet/IP explicit messaging
44818/tcp	EtherNet/IP explicit messaging
47808/udp	BACnet Building Automation and Control Networks (4780810 = BAC016)
47808/tcp	BACnet Building Automation and Control Networks (4780810 = BAC016)
49151/udp	Reserved
49151/tcp	Reserved
